Team,NO.,Fint,FirstName,LastName,Name,Position,AGE,HT,WT,COLLEGE,2015-2016 SALARY
LAC,3,C,Chris,Paul,Chris Paul,PG,30,Jun-00,175,Wake Forest,"$21,468,695 "
LAC,34,P,Paul,Pierce,Paul Pierce,SF,38,7-Jun,235,Kansas,"$3,376,000 "
LAC,9,P,Pablo,Prigioni,Pablo Prigioni,PG,38,3-Jun,185, ,"$947,726 "
LAC,4,J,J.J.,Redick,J.J. Redick,SG,31,4-Jun,190,Duke,"$7,085,000 "
LAC,25,A,Austin,Rivers,Austin Rivers,PG,23,4-Jun,200,Duke,"$3,110,796 "
LAC,35,A,Alex,Stepheson,Alex Stepheson,PF,28,10-Jun,270,USC, 
LAC,30,C,C.J.,Wilcox,C.J. Wilcox,SG,25,5-Jun,195,Washington,"$1,159,680 "
LAL,2,B,Brandon,Bass,Brandon Bass,PF,30,8-Jun,250,LSU,"$3,000,000 "
LAL,28,T,Tarik,Black,Tarik Black,C,24,9-Jun,250,Kansas,"$845,059 "
LAL,3,A,Anthony,Brown,Anthony Brown,SF,23,7-Jun,210,Stanford,"$700,000 "
LAL,24,K,Kobe,Bryant,Kobe Bryant,SF,37,6-Jun,212, ,"$25,000,000 "
LAL,6,J,Jordan,Clarkson,Jordan Clarkson,PG,23,5-Jun,194,Missouri,"$845,059 "
LAL,17,R,Roy,Hibbert,Roy Hibbert,C,29,2-Jul,270,Georgetown,"$15,592,217 "
LAL,9,M,Marcelo,Huertas,Marcelo Huertas,PG,32,3-Jun,200, ,"$525,093 "
LAL,4,R,Ryan,Kelly,Ryan Kelly,PF,24,11-Jun,230,Duke,"$1,724,250 "
LAL,7,L,Larry,Nance Jr.,Larry Nance Jr.,PF,23,9-Jun,230,Wyoming,"$1,155,600 "
LAL,30,J,Julius,Randle,Julius Randle,PF,21,9-Jun,250,Kentucky,"$3,132,240 "
LAL,1,D,D'Angelo,Russell,D'Angelo Russell,PG,20,5-Jun,195,Ohio State,"$5,103,120 "
LAL,50,R,Robert,Sacre,Robert Sacre,C,26,Jul-00,270,Gonzaga,"$981,348 "
LAL,23,L,Louis,Williams,Louis Williams,SG,29,1-Jun,175, ,"$7,000,000 "
LAL,37,M,Metta,World Peace,Metta World Peace,SF,36,7-Jun,260,St. John's,"$947,276 "
LAL,0,N,Nick,Young,Nick Young,SF,30,7-Jun,210,USC,"$5,219,169 "
MEM,3,J,Jordan,Adams,Jordan Adams,SG,21,5-Jun,209,UCLA,"$1,404,600 "
MEM,9,T,Tony,Allen,Tony Allen,SG,34,4-Jun,213,Oklahoma State,"$5,158,539 "
MEM,7,C,Chris,Andersen,Chris Andersen,PF,37,10-Jun,245,Blinn College,"$5,000,000 "
MEM,22,M,Matt,Barnes,Matt Barnes,SF,35,7-Jun,226,UCLA,"$3,542,500 "
MEM,15,V,Vince,Carter,Vince Carter,SG,39,6-Jun,220,North Carolina,"$4,088,019 "
MEM,6,M,Mario,Chalmers,Mario Chalmers,PG,29,2-Jun,190,Kansas,"$4,300,000 "
MEM,11,M,Mike,Conley,Mike Conley,PG,28,1-Jun,175,Ohio State,"$9,588,426 "
MEM,8,J,James,Ennis,James Ennis,SF,25,7-Jun,210,Long Beach State,"$845,059 "
MEM,33,M,Marc,Gasol,Marc Gasol,C,31,1-Jul,255, ,"$19,688,000 "
MEM,0,J,JaMychal,Green,JaMychal Green,PF,25,9-Jun,227,Alabama,"$845,059 "
MEM,19,P,P.J.,Hairston,P.J. Hairston,SF,23,6-Jun,230,North Carolina,"$1,201,440 "
MEM,10,J,Jarell,Martin,Jarell Martin,PF,21,10-Jun,239,LSU,"$1,230,840 "
MEM,50,Z,Zach,Randolph,Zach Randolph,PF,34,9-Jun,260,Michigan State,"$9,638,555 "
MEM,1,L,Lance,Stephenson,Lance Stephenson,SF,25,5-Jun,230,Cincinnati,"$9,000,000 "
MEM,34,B,Brandan,Wright,Brandan Wright,PF,28,10-Jun,210,North Carolina,"$5,464,000 "
MIA,1,C,Chris,Bosh,Chris Bosh,PF,31,11-Jun,235,Georgia Tech,"$22,192,730 "
MIA,9,L,Luol,Deng,Luol Deng,SF,30,9-Jun,220,Duke,"$10,151,612 "
MIA,7,G,Goran,Dragic,Goran Dragic,PG,29,3-Jun,190, ,"$14,783,000 "
MIA,14,G,Gerald,Green,Gerald Green,SF,30,7-Jun,205, ,"$947,276 "
MIA,40,U,Udonis,Haslem,Udonis Haslem,PF,35,8-Jun,235,Florida,"$2,854,940 "
MIA,--,J,Joe,Johnson,Joe Johnson,SF,34,7-Jun,240,Arkansas,"$24,894,863 "
MIA,8,T,Tyler,Johnson,Tyler Johnson,SG,23,4-Jun,186,Fresno State,"$845,059 "
MIA,4,J,Josh,McRoberts,Josh McRoberts,PF,28,10-Jun,240,Duke,"$5,543,725 "
MIA,0,J,Josh,Richardson,Josh Richardson,SG,22,6-Jun,200,Tennessee,"$525,093 "
MIA,5,A,Amar'e,Stoudemire,Amar'e Stoudemire,PF,33,10-Jun,245, ,"$947,276 "
MIA,19,B,Beno,Udrih,Beno Udrih,PG,33,3-Jun,205, ,"$2,170,465 "
MIA,3,D,Dwyane,Wade,Dwyane Wade,SG,34,4-Jun,220,Marquette,"$20,000,000 "
MIA,21,H,Hassan,Whiteside,Hassan Whiteside,C,26,Jul-00,265,Marshall,"$981,348 "
MIA,20,J,Justise,Winslow,Justise Winslow,SF,19,7-Jun,225,Duke,"$2,481,720 "
MIL,34,G,Giannis,Antetokounmpo,Giannis Antetokounmpo,SF,21,11-Jun,222, ,"$1,953,960 "
MIL,19,J,Jerryd,Bayless,Jerryd Bayless,PG,27,3-Jun,200,Arizona,"$3,000,000 "
MIL,5,M,Michael,Carter-Williams,Michael Carter-Williams,PG,24,6-Jun,190,Syracuse,"$2,399,040 "
MIL,11,T,Tyler,Ennis,Tyler Ennis,PG,21,3-Jun,194,Syracuse,"$1,662,360 "
MIL,31,J,John,Henson,John Henson,PF,25,11-Jun,229,North Carolina,"$2,943,221 "
MIL,17,D,Damien,Inglis,Damien Inglis,SF,20,8-Jun,246, ,"$855,000 "
MIL,3,O,O.J.,Mayo,O.J. Mayo,SG,28,5-Jun,210,USC,"$8,000,000 "
MIL,22,K,Khris,Middleton,Khris Middleton,SG,24,8-Jun,234,Texas A&M,"$14,700,000 "
MIL,15,G,Greg,Monroe,Greg Monroe,C,25,11-Jun,265,Georgetown,"$16,407,500 "
MIL,6,S,Steve,Novak,Steve Novak,SF,32,10-Jun,225,Marquette,"$289,755 "
MIL,77,J,Johnny,O'Bryant III,Johnny O'Bryant III,PF,22,9-Jun,257,LSU,"$845,059 "
MIL,12,J,Jabari,Parker,Jabari Parker,PF,20,8-Jun,250,Duke,"$5,152,440 "
MIL,18,M,Miles,Plumlee,Miles Plumlee,C,27,11-Jun,249,Duke,"$2,109,294 "
MIL,21,G,Greivis,Vasquez,Greivis Vasquez,PG,29,6-Jun,217,Maryland,"$6,600,000 "
MIL,20,R,Rashad,Vaughn,Rashad Vaughn,SG,19,6-Jun,202,UNLV,"$1,733,040 "
MIN,88,N,Nemanja,Bjelica,Nemanja Bjelica,PF,27,10-Jun,240, ,"$3,950,001 "
MIN,5,G,Gorgui,Dieng,Gorgui Dieng,C,26,11-Jun,241,Louisville,"$1,474,440 "
MIN,21,K,Kevin,Garnett,Kevin Garnett,PF,39,11-Jun,240, ,"$8,500,000 "
MIN,1,T,Tyus,Jones,Tyus Jones,PG,19,2-Jun,195,Duke,"$1,282,080 "
MIN,8,Z,Zach,LaVine,Zach LaVine,PG,20,5-Jun,189,UCLA,"$2,148,360 "
MIN,23,K,Kevin,Martin,Kevin Martin,SG,33,7-Jun,199,Western Carolina,"$7,085,000 "
MIN,15,S,Shabazz,Muhammad,Shabazz Muhammad,SF,23,6-Jun,223,UCLA,"$2,056,920 "
MIN,33,A,Adreian,Payne,Adreian Payne,PF,25,10-Jun,237,Michigan State,"$1,938,840 "
MIN,14,N,Nikola,Pekovic,Nikola Pekovic,C,30,11-Jun,307, ,"$12,100,000 "
