Fint,LastName,Position,Rank,City
L,Nogueira,C,3,Toronto
R,Neto,PG,1,Utah
T,Burke,PG,2,Utah
D,Exum,PG,3,Utah
R,Hood,SG,1,Utah
A,Burks,SG,2,Utah
S,Mack,SG,3,Utah
G,Hayward,SF,1,Utah
J,Ingles,SF,2,Utah
C,Johnson,SF,3,Utah
D,Favors,PF,1,Utah
T,Booker,PF,2,Utah
T,Lyles,PF,3,Utah
R,Gobert,C,1,Utah
J,Withey,C,2,Utah
T,Pleiss,C,3,Utah
J,Wall,PG,1,Washington
R,Sessions,PG,2,Washington
G,Temple,SG,1,Washington
B,Beal,SG,2,Washington
G,Neal,SG,3,Washington
A,Anderson,SG,4,Washington
O,Porter Jr.,SF,1,Washington
K,Oubre Jr.,SF,2,Washington
J,Eddie,SF,3,Washington
J,Dudley,PF,1,Washington
N,Hilario,PF,2,Washington
M,Morris,PF,3,Washington
M,Gortat,C,1,Washington
D,Gooden,C,2,Washington
J,Hickson,C,3,Washington
