,NO.,FirstName,LastName,POS,AGE,HT,WT,COLLEGE,2015-2016 SALARY,Team
331,4,Nerlens,Noel,PF,21,11-Jun,228,Kentucky,"$3,457,800 ",PHI
332,8,Jahlil,Okafor,C,20,11-Jun,275,Duke,"$4,582,680 ",PHI
333,1,Ish,Smith,PG,27,Jun-00,175,Wake Forest,"$947,276 ",PHI
334,11,Nik,Stauskas,SG,22,6-Jun,205,Michigan,"$2,869,440 ",PHI
335,31,Hollis,Thompson,SG,24,8-Jun,206,Georgetown,"$947,276 ",PHI
336,2,Eric,Bledsoe,PG,26,1-Jun,190,Kentucky,"$13,500,000 ",PHO
337,1,Devin,Booker,SG,19,6-Jun,206,Kentucky,"$2,127,840 ",PHO
338,4,Tyson,Chandler,C,33,1-Jul,240, ,"$13,000,000 ",PHO
339,20,Archie,Goodwin,SG,21,5-Jun,200,Kentucky,"$1,160,160 ",PHO
340,43,Kris,Humphries,PF,31,9-Jun,235,Minnesota,"$4,440,000 ",PHO
341,12,John,Jenkins,SG,24,4-Jun,215,Vanderbilt,"$981,348 ",PHO
342,3,Brandon,Knight,PG,24,3-Jun,189,Kentucky,"$13,500,000 ",PHO
343,21,Alex,Len,C,22,1-Jul,260,Maryland,"$3,807,120 ",PHO
344,30,Jon,Leuer,PF,26,10-Jun,228,Wisconsin,"$1,035,000 ",PHO
345,25,Phil,Pressey,PG,25,11-May,175,Missouri,"$55,722 ",PHO
346,14,Ronnie,Price,PG,32,2-Jun,190,Utah Valley,"$947,276 ",PHO
347,35,Mirza,Teletovic,PF,30,9-Jun,242, ,"$5,500,000 ",PHO
348,17,P.J.,Tucker,SF,30,6-Jun,245,Texas,"$5,500,000 ",PHO
349,12,T.J.,Warren,SF,22,8-Jun,230,North Carolina State,"$2,041,080 ",PHO
350,10,Sonny,Weems,SG,29,6-Jun,205,Arkansas,"$2,814,000 ",PHO
351,34,Cliff,Alexander,PF,20,8-Jun,240,Kansas,"$525,093 ",POR
352,8,Al-Farouq,Aminu,SF,25,9-Jun,215,Wake Forest,"$8,042,895 ",POR
