Away,Home
ORL,NO
WAS,PHI
LAC,SAC
CLE,TOR
MIA,BOS
POR,CHI
SAS,HOU
DET,MIL
MIN,NYK
GSW,OKC
MEM,PHO
BKN,UTH
CHA,ATL
MIN,DAL
TOR,DET
POR,IND
MIA,NO
PHI,ORL
CLE,WAS
UTH,BOS
IND,CLE
MEM,DEN
BKN,LAC
HOU,MIL
OKC,SAC
PHI,WAS
PHO,CHA
ORL,DAL
ATL,GSW
BKN,LAL
CHI,MIA
POR,NO
POR,BOS
LAL,DEN
NYK,HOU
OKC,LAC
SAC,MEM
IND,MIL
WAS,MIN
CHI,ORL
CHA,PHI
DET,SAS
UTH,TOR
SAC,DAL
OKC,GSW
PHO,MIA
SAS,NYK
NO,BOS
IND,CHA
WAS,CLE
BKN,DEN
ATL,LAL
UTH,MEM
MIN,MIL
PHO,ORL
MIA,PHI
POR,TOR
HOU,CHI
BOS,CLE
ATL,LAC
BKN,MIN
UTH,NYK
DET,NO
SAC,SAS
IND,WAS
DAL,DEN
POR,DET
GSW,LAL
PHO,MEM
PHI,MIA
OKC,MIL
HOU,TOR
MIL,CHI
MIN,CHA
MEM,CLE
LAC,DAL
ORL,GSW
SAS,IND
SAC,NYK
NO,DEN
ORL,LAL
SAS,MIN
WAS,POR
BKN,TOR
ATL,UTH
MEM,BOS
NYK,CHA
DET,DAL
UTH,GSW
MIA,MIL
LAC,OKC
HOU,PHI
NO,PHO
CLE,SAC
PHO,DEN
CLE,LAL
CHI,SAS
ATL,TOR
HOU,BOS
MIA,CHI
DET,CHA
POR,GSW
NO,LAC
NYK,MEM
MIN,OKC
BKN,PHI
ORL,SAC
WAS,UTH
MEM,ATL
HOU,CHA
IND,DAL
WAS,DEN
PHO,GSW
NYK,MIL
DET,PHI
ORL,POR
OKC,SAS
MIA,TOR
IND,ATL
MIL,BKN
CLE,LAC
NO,LAL
UTH,SAC
DAL,CHA
NYK,GSW
MEM,HOU
DEN,MIA
POR,OKC
MIN,PHO
CHI,TOR
CLE,UTH
DET,WAS
PHI,BKN
BOS,IND
SAC,LAL
TOR,MIL
DEN,ORL
LAC,SAS
OKC,BOS
ORL,CHA
DAL,CLE
ATL,DET
NO,GSW
LAC,HOU
MIN,MEM
NYK,SAC
CHI,WAS
DEN,ATL
BKN,CHI
TOR,IND
CHA,MIA
MEM,MIL
WAS,PHI
POR,SAS
PHO,UTH
GSW,DAL
SAC,DET
MIN,HOU
PHO,LAL
POR,NYK
CLE,ORL
OKC,PHI
BOS,TOR
HOU,ATL
UTH,CHI
DEN,CHA
BKN,DET
OKC,IND
LAC,MEM
CLE,MIA
GSW,SAS
NO,WAS
POR,DAL
UTH,MIL
LAC,NYK
SAC,NO
BOS,PHI
ORL,TOR
WAS,ATL
ORL,BOS
SAC,CHI
SAS,CHA
DEN,CLE
MIL,DET
PHI,IND
GSW,MIN
MEM,PHO
CHA,BKN
MEM,LAL
MIA,NYK
HOU,OKC
TOR,BOS
NO,CHI
MIL,CLE
PHI,DEN
ORL,DET
LAC,GSW
UTH,HOU
SAC,MIN
LAL,PHO
DAL,POR
MIA,SAS
ATL,WAS
CLE,BKN
NYK,IND
POR,LAC
CHI,NO
UTH,OKC
MIL,ATL
CHA,DET
DAL,GSW
TOR,HOU
DEN,LAL
ORL,MIA
PHO,SAC
MEM,SAS
MIN,WAS
IND,BKN
ATL,DET
CHA,MIL
UTH,MIN
TOR,NYK
CLE,NO
SAS,OKC
CHI,ORL
BOS,PHO
PHI,POR
PHI,GSW
HOU,IND
DEN,LAC
WAS,LAL
DAL,SAC
ATL,CHI
DAL,DEN
BOS,LAC
SAS,MEM
BKN,MIA
PHO,MIN
NO,NYK
SAC,POR
OKC,TOR
LAL,UTH
HOU,CLE
OKC,DET
WAS,GSW
CHI,IND
BKN,ORL
CHA,PHI
NO,DAL
MIA,LAL
DEN,MEM
PHO,MIL
LAC,MIN
WAS,SAC
NYK,SAS
ATL,TOR
GSW,UTH
BKN,CLE
CHI,HOU
ORL,IND
DEN,NYK
LAC,OKC
BOS,POR
CLE,ATL
PHI,CHA
DAL,DET
BOS,GSW
TOR,MEM
ORL,MIL
BKN,NO
WAS,PHO
MIA,SAC
MIN,UTH
DET,CHI
SAC,DEN
IND,PHI
MIA,POR
TOR,SAS
NYK,BKN
CHA,CLE
POR,GSW
OKC,HOU
WAS,LAC
BOS,LAL
CHI,MIL
DAL,MIN
IND,NO
MEM,ORL
UTH,PHO
PHO,ATL
OKC,DEN
MIN,GSW
LAL,LAC
CHI,MEM
DET,MIA
CLE,MIL
NYK,PHI
POR,SAC
CHA,TOR
SAS,UTH
NYK,BOS
HOU,DAL
CLE,IND
LAC,LAL
CHA,NO
DET,ORL
OKC,POR
BKN,WAS
TOR,ATL
SAS,GSW
PHO,HOU
CHI,MIA
MIN,SAC
MIL,BOS
BKN,CHA
MEM,DAL
SAS,DEN
WAS,DET
LAL,NYK
MIA,ORL
NO,PHI
IND,TOR
LAC,UTH
BOS,ATL
CLE,CHI
GSW,MEM
PHO,NYK
MIN,POR
OKC,SAC
UTH,DEN
LAL,HOU
BKN,IND
DAL,LAC
ORL,MIA
TOR,NO
MIL,PHI
GSW,SAS
CHA,WAS
CHA,BOS
WAS,BKN
ATL,CLE
HOU,MIN
CHI,NYK
LAL,OKC
MIL,ORL
SAC,PHO
DAL,UTH
MIA,DET
NO,IND
MEM,LAC
OKC,SAS
PHI,TOR
MIA,BOS
TOR,BKN
PHI,CHI
ORL,CHA
DET,CLE
SAS,DAL
MEM,GSW
SAC,HOU
UTH,LAL
IND,MIL
NYK,MIN
LAC,PHO
DEN,POR
ATL,WAS
